sec_code,company_name,as_of,source_url
1803,SHIMIZU CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
1808,HASEKO CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
1812,KAJIMA CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
1925,"DAIWA HOUSE IND. CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
1928,"SEKISUI HOUSE, LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
1963,JGC HOLDINGS CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
5631,"THE JAPAN STEEL WORKS, LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6103,OKUMA CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6113,"AMADA CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6273,SMC CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6301,KOMATSU LTD.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6302,"SUMITOMO HEAVY IND., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6305,"HITACHI CONST. MACH. CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6326,KUBOTA CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6361,EBARA CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6367,"DAIKIN INDUSTRIES, LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6471,NSK LTD.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6472,NTN CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6473,JTEKT CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
7004,KANADEVIA CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
7011,"MITSUBISHI HEAVY IND., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
7013,IHI CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
7012,"KAWASAKI HEAVY IND., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
7832,BANDAI NAMCO HOLDINGS INC.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
7911,TOPPAN HOLDINGS INC.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
7912,"DAI NIPPON PRINTING CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
7951,YAMAHA CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
3289,TOKYU FUDOSAN HOLDINGS CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
8801,"MITSUI FUDOSAN CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
8802,"MITSUBISHI ESTATE CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
8804,"TOKYO TATEMONO CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
8830,"SUMITOMO REALTY &amp; DEVELOPMENT CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
9001,"TOBU RAILWAY CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
9005,TOKYU CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
9007,"ODAKYU ELECTRIC RAILWAY CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
9008,KEIO CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
9009,"KEISEI ELECTRIC RAILWAY CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
9020,EAST JAPAN RAILWAY CO.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
9021,WEST JAPAN RAILWAY CO.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
9022,"CENTRAL JAPAN RAILWAY CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
9064,"YAMATO HOLDINGS CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
9147,"NIPPON EXPRESS HOLDINGS, INC.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
9101,NIPPON YUSEN K.K.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
9104,"MITSUI O.S.K.LINES, LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
9107,"KAWASAKI KISEN KAISHA, LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
9201,"JAPAN AIRLINES CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
9202,ANA HOLDINGS INC.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
9501,"TOKYO ELECTRIC POWER COMPANY HOLDINGS, I",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
9502,"CHUBU ELECTRIC POWER CO., INC.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
9503,"THE KANSAI ELECTRIC POWER CO., INC.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
9531,"TOKYO GAS CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
9532,"OSAKA GAS CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
